|TABLE_SCHEMA|TABLE_NAME               |COLUMN_NAME         |DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|IS_NULLABLE|COLUMN_KEY|EXTRA                      |
|employeedata|employee_demographic     |dob                 |date     |                        |NO         |MUL       |                           |
|employeedata|employee_demographic     |address_line1       |varchar  |255                     |YES        |          |                           |
|employeedata|employee_demographic     |address_line2       |varchar  |255                     |YES        |          |                           |
|employeedata|employee_demographic     |city_id             |int      |                        |YES        |MUL       |                           |
|employeedata|employee_demographic     |state_id            |int      |                        |YES        |MUL       |                           |
|employeedata|employee_demographic     |country_id          |int      |                        |YES        |MUL       |                           |
|employeedata|employee_division        |empid               |int      |                        |NO         |PRI       |                           |
|employeedata|employee_division        |divid               |int      |                        |NO         |PRI       |                           |
|employeedata|employee_division        |effective_start     |date     |                        |NO         |PRI       |                           |
|employeedata|employee_division        |effective_end       |date     |                        |YES        |          |                           |
|employeedata|employee_employment_types|employment_type_id  |int      |                        |NO         |MUL       |                           |
|employeedata|employee_employment_types|empid               |int      |                        |NO         |PRI       |                           |
|employeedata|employee_employment_types|is_active           |tinyint  |                        |NO         |          |                           |
|employeedata|employee_job_title       |empid               |int      |                        |NO         |PRI       |                           |
|employeedata|employee_job_title       |job_title_id        |int      |                        |NO         |PRI       |                           |
|employeedata|employee_job_title       |effective_start     |date     |                        |NO         |PRI       |                           |
|employeedata|employee_job_title       |effective_end       |date     |                        |YES        |          |                           |
|employeedata|employee_status          |status_id           |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|employee_status          |empid               |int      |                        |NO         |MUL       |                           |
|employeedata|employee_status          |status              |enum     |14                      |NO         |          |                           |
|employeedata|employee_status          |hire_date           |date     |                        |NO         |          |                           |
|employeedata|employee_status          |termination_date    |date     |                        |YES        |          |                           |
|employeedata|employee_status          |effective_start     |date     |                        |NO         |          |DEFAULT_GENERATED          |
|employeedata|employee_status          |effective_end       |date     |                        |YES        |          |                           |
|employeedata|employees                |empid               |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|employees                |fname               |varchar  |65                      |NO         |          |                           |
|employeedata|employees                |lname               |varchar  |65                      |NO         |MUL       |                           |
|employeedata|employees                |salary              |decimal  |                        |NO         |          |                           |
|employeedata|employees                |ssn_last4           |char     |4                       |NO         |          |                           |
|employeedata|employees                |ssn_hash            |binary   |32                      |NO         |MUL       |                           |
|employeedata|employees                |ssn_enc             |varbinary|256                     |NO         |          |                           |
|employeedata|employees                |ssn_iv              |binary   |16                      |NO         |          |                           |
|employeedata|employees                |created_at          |datetime |                        |NO         |          |DEFAULT_GENERATED          |
|employeedata|employees                |updated_at          |datetime |                        |YES        |          |on update CURRENT_TIMESTAMP|
|employeedata|employment_types         |employment_type_id  |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|employment_types         |employment_type_name|varchar  |64                      |NO         |UNI       |                           |
|employeedata|job_titles               |job_title_id        |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|job_titles               |job_title           |varchar  |125                     |NO         |UNI       |                           |
|employeedata|job_titles               |description         |varchar  |255                     |YES        |          |                           |
|employeedata|payroll                  |payid               |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|payroll                  |payroll_run_id      |int      |                        |NO         |MUL       |                           |
|employeedata|payroll                  |empid               |int      |                        |NO         |MUL       |                           |
|employeedata|payroll                  |pay_date            |date     |                        |NO         |          |                           |
|employeedata|payroll                  |earnings            |decimal  |                        |NO         |          |                           |
|employeedata|payroll                  |fed_tax             |decimal  |                        |NO         |          |                           |
|employeedata|payroll                  |fed_med             |decimal  |                        |NO         |          |                           |
|employeedata|payroll                  |fed_ss              |decimal  |                        |NO         |          |                           |
|employeedata|payroll                  |state_tax           |decimal  |                        |NO         |          |                           |
|employeedata|payroll                  |retire_401k         |decimal  |                        |NO         |          |                           |
|employeedata|payroll                  |health_care         |decimal  |                        |NO         |          |                           |
|employeedata|payroll                  |net_pay             |decimal  |                        |NO         |          |                           |
|employeedata|payroll                  |created_at          |datetime |                        |NO         |          |DEFAULT_GENERATED          |
|employeedata|payroll_runs             |payroll_run_id      |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|payroll_runs             |run_year            |year     |                        |NO         |          |                           |
|employeedata|payroll_runs             |run_month           |tinyint  |                        |NO         |          |                           |
|employeedata|payroll_runs             |run_date            |datetime |                        |NO         |          |DEFAULT_GENERATED          |
|employeedata|payroll_runs             |description         |varchar  |255                     |YES        |          |                           |
|employeedata|roles                    |role_id             |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|roles                    |role_name           |varchar  |64                      |NO         |UNI       |                           |
|employeedata|roles                    |description         |varchar  |255                     |YES        |          |                           |
|employeedata|salary_history           |salary_history_id   |bigint   |                        |NO         |PRI       |auto_increment             |
|employeedata|salary_history           |empid               |int      |                        |NO         |MUL       |                           |
|employeedata|salary_history           |previous_salary     |decimal  |                        |NO         |          |                           |
|employeedata|salary_history           |new_salary          |decimal  |                        |NO         |          |                           |
|employeedata|salary_history           |change_reason       |varchar  |255                     |YES        |          |                           |
|employeedata|salary_history           |changed_by_user_id  |int      |                        |NO         |MUL       |                           |
|employeedata|salary_history           |changed_at          |datetime |                        |NO         |          |DEFAULT_GENERATED          |
|employeedata|states                   |stateid             |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|states                   |state_abbreviation  |varchar  |3                       |NO         |UNI       |                           |
|employeedata|states                   |state_name          |varchar  |125                     |NO         |          |                           |
|employeedata|user_employee_link       |user_id             |int      |                        |NO         |PRI       |                           |
|employeedata|user_employee_link       |empid               |int      |                        |NO         |PRI       |                           |
|employeedata|user_roles               |user_id             |int      |                        |NO         |PRI       |                           |
|employeedata|user_roles               |role_id             |int      |                        |NO         |PRI       |                           |
|employeedata|users                    |user_id             |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|users                    |username            |varchar  |64                      |NO         |UNI       |                           |
|employeedata|users                    |password_hash       |varbinary|256                     |NO         |          |                           |
|employeedata|users                    |password_salt       |varbinary|64                      |NO         |          |                           |
|employeedata|users                    |is_active           |tinyint  |                        |NO         |          |                           |
|employeedata|users                    |created_at          |datetime |                        |NO         |          |DEFAULT_GENERATED          |
|employeedata|users                    |updated_at          |datetime |                        |YES        |          |on update CURRENT_TIMESTAMP|
