|TABLE_SCHEMA|TABLE_NAME               |COLUMN_NAME         |DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|
|employeedata|job_titles               |job_title_id        |int      |                        |
|employeedata|job_titles               |job_title           |varchar  |125                     |
|employeedata|job_titles               |description         |varchar  |255                     |
|employeedata|payroll                  |payid               |int      |                        |
|employeedata|payroll                  |payroll_run_id      |int      |                        |
|employeedata|payroll                  |empid               |int      |                        |
|employeedata|payroll                  |pay_date            |date     |                        |
|employeedata|payroll                  |earnings            |decimal  |                        |
|employeedata|payroll                  |fed_tax             |decimal  |                        |
|employeedata|payroll                  |fed_med             |decimal  |                        |
|employeedata|payroll                  |fed_ss              |decimal  |                        |
|employeedata|payroll                  |state_tax           |decimal  |                        |
|employeedata|payroll                  |retire_401k         |decimal  |                        |
|employeedata|payroll                  |health_care         |decimal  |                        |
|employeedata|payroll                  |net_pay             |decimal  |                        |
|employeedata|payroll                  |created_at          |datetime |                        |
|employeedata|payroll_runs             |payroll_run_id      |int      |                        |
|employeedata|payroll_runs             |run_year            |year     |                        |
|employeedata|payroll_runs             |run_month           |tinyint  |                        |
|employeedata|payroll_runs             |run_date            |datetime |                        |
|employeedata|payroll_runs             |description         |varchar  |255                     |
|employeedata|roles                    |role_id             |int      |                        |
|employeedata|roles                    |role_name           |varchar  |64                      |
|employeedata|roles                    |description         |varchar  |255                     |
|employeedata|salary_history           |salary_history_id   |bigint   |                        |
|employeedata|salary_history           |empid               |int      |                        |
|employeedata|salary_history           |previous_salary     |decimal  |                        |
|employeedata|salary_history           |new_salary          |decimal  |                        |
|employeedata|salary_history           |change_reason       |varchar  |255                     |
|employeedata|salary_history           |changed_by_user_id  |int      |                        |
|employeedata|salary_history           |changed_at          |datetime |                        |
|employeedata|states                   |stateid             |int      |                        |
|employeedata|states                   |state_abbreviation  |varchar  |3                       |
|employeedata|states                   |state_name          |varchar  |125                     |
|employeedata|user_employee_link       |user_id             |int      |                        |
|employeedata|user_employee_link       |empid               |int      |                        |
|employeedata|user_roles               |user_id             |int      |                        |
|employeedata|user_roles               |role_id             |int      |                        |
|employeedata|users                    |user_id             |int      |                        |
|employeedata|users                    |username            |varchar  |64                      |
|employeedata|users                    |password_hash       |varbinary|256                     |
|employeedata|users                    |password_salt       |varbinary|64                      |
|employeedata|users                    |is_active           |tinyint  |                        |
|employeedata|users                    |created_at          |datetime |                        |
|employeedata|users                    |updated_at          |datetime |                        |
